,IMO,Anchorage,Port,Berth or Port Entry,Waiting Time (Days),Vessel Type,Date,Zone,Country,Total Vessels (Number),Total Vessels (DWT),Capesize,Capesize Laden,Capesize Unladen,Panamax,Panamax Laden,Panamax Unladen,Handymax,Handymax Laden,Handymax Unladen,Handysize,Handysize Laden,Handysize Unladen,Capesize (DWT),Capesize Laden (DWT),Capesize Unladen (DWT),Panamax (DWT),Panamax Laden (DWT),Panamax Unladen (DWT),Handymax (DWT),Handymax Laden (DWT),Handymax Unladen (DWT),Handysize (DWT),Handysize Laden (DWT),Handysize Unladen (DWT),Wait Levels
4,9056399,Santos Anchorage,Santos,2015-01-02 16:34:00,0.2,3,2015-01-02,East Coast South America,Sao Paulo,16.0,"878,272",0.0,0.0,0.0,5.0,0.0,5.0,8,2.0,6.0,2.0,1.0,1.0,0,0,0,"392,746",0,"392,746","432,704","121,785","310,919","52,823","30,060","22,763",0
7,8309141,Santos Anchorage,Santos,2015-01-03 22:22:00,0.5,1,2015-01-03,East Coast South America,Sao Paulo,17.0,"908,718",0.0,0.0,0.0,5.0,0.0,5.0,9,2.0,7.0,3.0,1.0,2.0,0,0,0,"363,888",0,"363,888","474,533","107,174","367,359","70,297","36,036","34,261",0
13,9471252,Santos Anchorage,Santos,2015-01-06 07:15:00,3.4,2,2015-01-02,East Coast South America,Sao Paulo,16.0,"878,272",0.0,0.0,0.0,5.0,0.0,5.0,8,2.0,6.0,2.0,1.0,1.0,0,0,0,"392,746",0,"392,746","432,704","121,785","310,919","52,823","30,060","22,763",1
14,9667435,Santos Anchorage,Santos,2015-01-07 03:46:00,1.9,3,2015-01-05,East Coast South America,Sao Paulo,21.0,"1,164,345",0.0,0.0,0.0,5.0,0.0,5.0,13,2.0,11.0,3.0,1.0,2.0,0,0,0,"414,800",0,"414,800","661,542","123,673","537,869","88,003","30,060","57,943",0
15,9625970,Santos Anchorage,Santos,2015-01-07 05:46:00,3.9,2,2015-01-03,East Coast South America,Sao Paulo,17.0,"908,718",0.0,0.0,0.0,5.0,0.0,5.0,9,2.0,7.0,3.0,1.0,2.0,0,0,0,"363,888",0,"363,888","474,533","107,174","367,359","70,297","36,036","34,261",1
17,9354791,Santos Anchorage,Santos,2015-01-07 21:40:00,3.1,3,2015-01-04,East Coast South America,Sao Paulo,19.0,"1,009,733",0.0,0.0,0.0,4.0,0.0,4.0,11,2.0,9.0,4.0,1.0,3.0,0,0,0,"337,440",0,"337,440","561,526","107,174","454,352","110,766","30,060","80,706",1
18,9233399,Santos Anchorage,Santos,2015-01-08 01:10:00,5.6,3,2015-01-02,East Coast South America,Sao Paulo,16.0,"878,272",0.0,0.0,0.0,5.0,0.0,5.0,8,2.0,6.0,2.0,1.0,1.0,0,0,0,"392,746",0,"392,746","432,704","121,785","310,919","52,823","30,060","22,763",2
21,9535864,Santos Anchorage,Santos,2015-01-09 17:28:00,6.4,3,2015-01-03,East Coast South America,Sao Paulo,17.0,"908,718",0.0,0.0,0.0,5.0,0.0,5.0,9,2.0,7.0,3.0,1.0,2.0,0,0,0,"363,888",0,"363,888","474,533","107,174","367,359","70,297","36,036","34,261",2
22,8903234,Santos Anchorage,Santos,2015-01-10 00:52:00,0.6,2,2015-01-09,East Coast South America,Sao Paulo,16.0,"852,746",0.0,0.0,0.0,3.0,1.0,2.0,10,3.0,7.0,3.0,1.0,2.0,0,0,0,"251,526","72,083","179,443","512,736","155,724","357,012","88,484","30,541","57,943",0
23,9300855,Santos Anchorage,Santos,2015-01-10 07:58:00,4.0,1,2015-01-06,East Coast South America,Sao Paulo,19.0,"1,062,108",0.0,0.0,0.0,5.0,0.0,5.0,11,2.0,9.0,4.0,2.0,2.0,0,0,0,"419,633",0,"419,633","539,202","111,744","427,458","103,274","45,331","57,943",1
24,9117325,Santos Anchorage,Santos,2015-01-10 16:40:00,6.6,3,2015-01-04,East Coast South America,Sao Paulo,19.0,"1,009,733",0.0,0.0,0.0,4.0,0.0,4.0,11,2.0,9.0,4.0,1.0,3.0,0,0,0,"337,440",0,"337,440","561,526","107,174","454,352","110,766","30,060","80,706",2
25,9180396,Santos Anchorage,Santos,2015-01-12 02:40:00,8.3,1,2015-01-03,East Coast South America,Sao Paulo,17.0,"908,718",0.0,0.0,0.0,5.0,0.0,5.0,9,2.0,7.0,3.0,1.0,2.0,0,0,0,"363,888",0,"363,888","474,533","107,174","367,359","70,297","36,036","34,261",2
