date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2015-01-01,26.8,23,32,,,319,15,,,
2015-01-02,27,23,32.3,,,312,15.1,,,
2015-01-03,23.3,21,32.1,3,,141,13.8,,,
2015-01-04,22.9,21,27,0,,,11.2,,,
2015-01-05,22.7,20,27,2,,115,11.2,,,
2015-01-06,23.8,20,29.7,0,,45,11.1,,,
2015-01-07,25,20,33,0,,4,11.5,,,
2015-01-08,24.4,19.8,32.8,19.1,,322,10.2,,,
2015-01-09,26.7,20,,27.9,,,,,,
2015-01-10,28.3,24.5,34,0,,262,11.6,,,
2015-01-11,26.7,23,,1,,,,,,
2015-01-12,25.9,19,34,7.9,,,9.7,,,
2015-01-13,26.1,21.8,34,22.1,,,9.5,,,
2015-01-14,25.4,,33.5,1,,,,,,
2015-01-15,25.6,21.9,33.3,8.9,,153,12.7,,,
2015-01-16,25.2,21.8,31.1,0,,134,13,,,
2015-01-17,26.9,21.9,34.5,0,,,8.8,,,
2015-01-18,27.7,22.6,34.5,0,,129,10.2,,,
2015-01-19,27.3,22,34.3,0,,142,13.2,,,
2015-01-20,27.4,23,34.8,,,109,10.6,,,
2015-01-21,24.7,22,34.8,,,,16.1,,,
2015-01-22,21.7,19,28.8,19.1,,165,17.5,,,
2015-01-23,21.1,18.5,26,2,,174,16.5,,,
2015-01-24,22,18.9,29,1,,119,11.6,,,
2015-01-25,23.8,19,30,4.1,,45,13.4,,,
2015-01-26,23.2,19,30,7.9,,330,12.7,,,
2015-01-27,23.7,20.6,29.7,0.8,,329,12.3,,,
2015-01-28,24.6,20.5,29,15,,339,11.2,,,
2015-01-29,25.1,,,0,,,,,,
2015-01-30,22.8,20,28.5,0,,224,16.3,,,
2015-01-31,20.5,18,24.8,0.5,,156,16.8,,,
2015-02-01,22.3,20,26,0,,129,14.1,,,
2015-02-02,22.3,20,26.4,,,134,11.1,,,
2015-02-03,22.9,19,29,,,,10.5,,,
2015-02-04,22.3,20.9,29,,,356,11.5,,,
2015-02-05,20.4,18.9,24.3,22.1,,313,13.2,,,
2015-02-06,19.8,,,24.9,,,,,,
2015-02-07,21.2,17.6,27.6,23.9,,168,9.3,,,
2015-02-08,22.1,19,27.6,2,,89,11.7,,,
2015-02-09,23.8,19.9,,0,,,,,,
2015-02-10,23.8,21,29.4,0.8,,13,11.2,,,
2015-02-11,24.8,20,30,0.5,,314,13.7,,,
2015-02-12,27.2,23,32,0,,338,12.8,,,
2015-02-13,26.1,23,32,,,,9.1,,,
2015-02-14,23.9,20.9,32.2,,,125,12.6,,,
2015-02-15,22.6,21,30.5,0,,,11.4,,,
2015-02-16,20.9,19,,0,,,,,,
2015-02-17,22.3,20,26.3,1,,345,10,,,
2015-02-18,21.6,20,26.3,1,,354,15.4,,,
2015-02-19,23.6,20.7,27,7.9,,349,20.1,,,
2015-02-20,24.6,22,28,0.8,,344,16.4,,,
2015-02-21,25.2,22.5,30,0,,146,13.7,,,
2015-02-22,23.7,20,30,,,,14.9,,,
2015-02-23,24.2,,,,,,,,,
2015-02-24,23.8,,30,7.1,,,,,,
2015-02-25,22,19.7,30.2,4.1,,319,11.1,,,
2015-02-26,23.1,19.6,29.3,17,,,11.2,,,
2015-02-27,25.1,20.6,31,0,,,9.5,,,
2015-02-28,21.7,19,30.9,,,163,16.5,,,
2015-03-01,20.6,18,25,21.1,,128,18.1,,,
2015-03-02,21.5,17.6,,0,,,,,,
2015-03-03,22.4,,,,,,,,,
2015-03-04,22.7,,,,,,,,,
2015-03-05,24.3,,,,,,,,,
2015-03-06,23.3,20,31.5,,,,9.2,,,
2015-03-07,21.1,,27.9,11.9,,,,,,
2015-03-08,21.7,20,25.3,35.1,,,8.5,,,
2015-03-09,21.6,20,24.4,4.1,,325,13.4,,,
2015-03-10,22.3,20,25.6,0.3,,319,13.1,,,
2015-03-11,23,20,27,0.3,,326,13.4,,,
2015-03-12,22.5,19,27,1,,,9.4,,,
2015-03-13,22.1,20,27,2,,9,8.1,,,
2015-03-14,22.1,19.8,26.9,15,,,6.7,,,
2015-03-15,22.2,20,26.9,3,,,5.8,,,
2015-03-16,22.1,19.4,29,0.5,,,9,,,
2015-03-17,21.1,18.8,28.9,41.9,,,11.1,,,
2015-03-18,21.4,19,24.3,0.3,,105,10.2,,,
2015-03-19,21.1,,,0,,,,,,
2015-03-20,20.8,18,27,6.1,,,7.6,,,
2015-03-21,20.7,18.5,26.6,2,,,8.4,,,
2015-03-22,19.9,18,24,4.1,,,13.4,,,
2015-03-23,19.4,17,23.6,2,,131,14.5,,,
2015-03-24,19.9,17,24,0,,125,15.3,,,
2015-03-25,20.4,16,26,,,122,13.3,,,
2015-03-26,22.8,18.8,29,,,21,11.2,,,
2015-03-27,22.9,18.9,29,,,,8.4,,,
2015-03-28,22.6,19.5,28.7,,,154,11.5,,,
2015-03-29,21.3,19,27.3,,,,10.3,,,
2015-03-30,21.7,19,25,,,8,11.2,,,
2015-03-31,23.5,20,29,0.3,,298,14.4,,,
2015-04-01,22.1,,29.1,0,,,,,,
2015-04-02,20.7,,26.4,,,,,,,
2015-04-03,19.9,16.7,25,,,,,,,
2015-04-04,21.8,18.7,28,,,92,12.2,,,
2015-04-05,22.8,20,28.1,,,,15.7,,,
2015-04-06,22.1,17,27,,,260,20.5,,,
2015-04-07,17.1,15,26.8,0.3,,151,21.3,,,
2015-04-08,17.5,14,23,0.8,,,14.6,,,
2015-04-09,19.3,16,23.1,0,,117,12.3,,,
2015-04-10,19.4,16,24,,,129,10.8,,,
2015-04-11,20.4,17,27.7,,,,10.3,,,
2015-04-12,19.4,16.5,27.7,,,,9.7,,,
2015-04-13,19.5,17,24,,,143,13.5,,,
2015-04-14,20.7,17,27,,,,10.6,,,
2015-04-15,22,18.7,27,,,,10.3,,,
2015-04-16,20.9,18.9,26.5,10.9,,254,12,,,
2015-04-17,20.4,17,25.1,0,,,11.8,,,
2015-04-18,22.9,19,28,,,,12,,,
2015-04-19,22.2,20,28.1,,,127,8.5,,,
2015-04-20,23.4,19.9,29,1,,,8.8,,,
2015-04-21,23.7,19,28.6,0,,222,14.6,,,
2015-04-22,19.7,19,27.9,0.5,,134,11.6,,,
2015-04-23,20.6,18.6,25,9.9,,,11.5,,,
2015-04-24,22.4,20,28,0,,,12.5,,,
2015-04-25,19.2,16.2,27.7,,,181,17,,,
2015-04-26,18.2,15.8,22.2,,,139,16.1,,,
2015-04-27,19.1,16,25,0,,108,12.2,,,
2015-04-28,20,17,26,,,123,12.8,,,
2015-04-29,18.3,16.7,25.6,0,,153,17.1,,,
2015-04-30,16.1,14.8,21,0,,140,18.2,,,
2015-05-01,16.4,14,21,0,,108,12.5,,,
2015-05-02,16.4,,,,,,,,,
2015-05-03,20.2,16.7,,,,,,,,
2015-05-04,21.2,18,25.7,0.5,,332,17.5,,,
2015-05-05,17.6,16,21.9,8.9,,137,14.9,,,
2015-05-06,17.6,16,19.6,0.3,,121,11.5,,,
2015-05-07,16.9,15,21,0,,,15,,,
2015-05-08,15.5,13,20.8,0.3,,134,17.3,,,
2015-05-09,17.3,14,25.1,0,,,10.4,,,
2015-05-10,16.8,15,25.1,,,,9.9,,,
2015-05-11,18,16.2,20,22.1,,,14.8,,,
2015-05-12,16.8,14,20.1,0,,219,12.5,,,
2015-05-13,15.8,14.8,20,3,,150,15.6,,,
2015-05-14,16.1,13.9,20,0.3,,,11.6,,,
2015-05-15,16.2,14,21,0,,98,12.9,,,
2015-05-16,16.6,13.5,22,,,99,10.6,,,
2015-05-17,18.2,16,23,,,,10.8,,,
2015-05-18,18.4,16,22.6,,,115,10.2,,,
2015-05-19,18.6,16,22,,,118,10.2,,,
2015-05-20,18.2,15,23,0,,,10.2,,,
2015-05-21,18.9,16,24,,,114,11.3,,,
2015-05-22,19.9,,,,,,,,,
2015-05-23,20.3,16.9,25.1,,,,10.9,,,
2015-05-24,21.1,17,25.6,,,322,14.8,,,
2015-05-25,22.4,18,27.6,,,313,9.6,,,
2015-05-26,20.6,19,27.6,,,145,11.5,,,
2015-05-27,22.3,19,27.1,,,9,13.3,,,
2015-05-28,19.3,,27.1,0.8,,,,,,
2015-05-29,17.9,16,21.6,8.9,,,13.2,,,
2015-05-30,16.9,13,22,0,,,10.7,,,
2015-05-31,16.4,14,22,1,,6,8,,,
2015-06-01,16.3,15,18.4,1,,168,11.2,,,
2015-06-02,15.7,15,17.4,0,,130,13,,,
2015-06-03,17.3,15,22,0,,,9,,,
2015-06-04,18.6,15,25,,,,8,,,
2015-06-05,19.1,15,24.5,,,,6.8,,,
2015-06-06,19.9,15,25.9,,,,8.7,,,
2015-06-07,20.3,16,25.9,,,,6.9,,,
2015-06-08,21,16,25.9,,,,6.7,,,
2015-06-09,20.6,16,25.7,,,,5,,,
2015-06-10,20.7,16,26,,,,8.3,,,
